10000
66 65 62 61 0 0 -1
69 73 69 73 0 0 4
72 71 71 69 1 0 -2
54 55 51 52 1 0 1
52 52 51 51 0 0 0
59 63 59 63 0 0 4
66 72 64 67 1 1 3
55 53 54 52 0 0 -2
59 67 57 66 0 1 9
55 54 53 52 0 0 -1
82 81 80 79 0 0 -1
61 62 60 61 0 0 1
68 70 66 69 0 1 3
59 65 59 65 0 0 6
78 77 77 76 0 1 -1
60 57 60 56 1 0 -4
59 60 59 60 0 0 1
64 70 64 68 1 0 4
55 59 54 58 0 0 4
71 71 71 71 0 0 0
71 71 68 68 0 0 0
58 61 58 60 1 0 2
60 57 60 57 0 0 -3
57 57 55 55 0 0 0
48 47 46 45 0 0 -1
57 61 56 60 0 0 4
55 56 54 55 0 0 1
51 56 51 56 0 0 5
80 80 80 79 1 0 -1
55 60 53 58 0 0 5
62 64 62 63 1 0 1
62 65 61 64 0 0 3
59 60 56 57 0 0 1
62 60 62 60 0 0 -2
72 76 70 75 0 1 5
58 58 55 55 0 0 0
69 72 67 70 1 1 3
61 64 59 64 0 1 5
50 51 48 49 0 0 1
66 64 65 63 0 0 -2
66 72 66 67 1 0 1
62 67 62 67 0 0 5
56 60 55 59 0 0 4
58 62 58 60 1 0 2
70 69 70 68 1 1 -2
63 62 63 62 0 0 -1
59 59 57 58 1 1 1
65 66 62 65 0 1 3
57 58 55 56 1 0 1
64 66 60 62 0 0 2
64 66 62 64 0 0 2
52 56 52 54 1 0 2
66 69 64 68 0 1 4
58 59 56 57 0 0 1
66 70 66 67 1 0 1
69 73 69 71 1 0 2
74 72 71 72 1 1 1
64 63 64 63 0 0 -1
61 59 59 57 0 0 -2
65 61 64 60 0 0 -4
59 63 58 59 1 0 1
65 63 65 63 1 0 -2
66 68 65 67 0 0 2
59 65 58 64 0 0 6
57 62 55 60 0 0 5
58 65 58 65 0 1 7
46 48 45 47 0 0 2
67 66 66 65 0 0 -1
61 62 61 62 1 1 1
69 68 67 67 1 1 0
63 59 63 59 0 0 -4
54 56 53 55 0 0 2
78 71 73 71 0 1 -2
51 52 48 49 1 0 1
63 64 63 62 1 0 -1
54 52 52 50 0 0 -2
55 59 55 59 0 0 4
62 58 60 56 0 0 -4
56 56 54 54 0 0 0
63 60 61 58 0 0 -3
47 54 45 52 0 1 7
67 67 65 65 0 0 0
56 58 53 55 0 0 2
59 62 57 60 1 0 3
59 60 57 58 0 0 1
63 65 63 63 1 0 0
57 60 57 60 0 0 3
64 65 62 63 0 0 1
60 61 59 60 0 0 1
62 62 60 60 0 0 0
70 76 68 74 0 0 6
56 58 54 56 1 0 2
62 60 60 58 0 1 -2
55 57 50 52 0 0 2
67 70 65 68 0 0 3
65 66 63 64 1 0 1
60 61 58 59 0 0 1
66 66 64 64 0 0 0
51 57 49 55 0 0 6
72 73 71 72 0 0 1
62 60 61 59 0 0 -2
67 74 67 74 1 0 7
63 64 60 59 1 0 -1
66 66 65 65 0 0 0
63 72 61 70 0 0 9
55 57 54 56 0 0 2
57 56 56 55 0 0 -1
62 59 58 55 0 0 -3
65 63 65 62 1 1 -3
63 61 61 61 0 1 0
57 56 55 55 1 1 0
70 69 69 68 0 0 -1
61 68 61 65 1 0 4
63 63 62 62 0 0 0
53 50 50 47 0 0 -3
62 62 61 61 1 0 0
69 72 66 69 0 0 3
65 68 64 67 0 0 3
72 73 70 72 1 1 2
59 60 56 57 0 0 1
61 63 59 60 1 0 1
72 75 71 74 0 0 3
69 72 63 66 0 1 3
61 66 61 66 0 0 5
60 60 59 60 0 1 1
60 60 57 56 1 0 -1
54 56 53 55 0 0 2
69 69 68 67 1 0 -1
62 62 57 57 0 0 0
62 66 62 64 1 0 2
56 58 55 57 1 1 2
64 64 63 63 0 0 0
65 63 60 58 0 0 -2
57 64 55 61 1 0 6
64 64 64 64 0 0 0
64 63 64 63 0 0 -1
55 54 54 53 0 0 -1
65 72 65 69 1 0 4
68 71 65 68 0 0 3
63 66 63 65 1 0 2
62 62 61 61 0 0 0
58 61 58 61 0 0 3
57 64 55 62 0 1 7
49 54 47 52 0 0 5
60 63 60 63 0 0 3
65 66 60 61 0 0 1
57 64 55 62 0 0 7
55 61 54 60 0 0 6
63 63 62 62 1 0 0
61 61 59 59 0 0 0
57 59 56 58 0 0 2
71 71 70 69 1 0 -1
65 66 64 65 0 0 1
58 55 58 54 1 0 -4
72 76 71 75 0 0 4
56 58 53 55 0 0 2
57 59 57 59 0 0 2
63 69 62 64 1 0 2
54 55 53 53 1 0 0
64 65 64 65 0 0 1
55 65 52 62 0 0 10
64 64 62 62 0 0 0
55 62 55 57 1 0 2
71 69 70 68 0 0 -2
65 70 65 70 1 1 5
68 69 66 67 0 0 1
61 68 61 65 1 0 4
56 59 55 58 0 0 3
60 64 60 64 1 1 4
57 57 55 55 1 0 0
72 72 70 70 0 0 0
60 61 59 60 0 0 1
61 62 58 59 0 0 1
68 71 68 67 1 0 -1
62 64 62 61 1 0 -1
62 62 59 59 0 0 0
69 67 68 67 0 1 -1
70 73 68 71 0 0 3
58 67 57 66 0 0 9
55 61 55 59 1 0 4
67 72 64 69 0 0 5
71 78 69 76 0 0 7
56 56 54 54 0 0 0
56 57 52 53 0 0 1
69 66 67 64 0 0 -3
76 78 76 78 0 0 2
81 84 77 80 0 0 3
61 63 60 62 0 0 2
67 70 65 68 0 0 3
52 54 51 53 0 0 2
64 62 62 61 0 1 -1
61 61 60 60 0 0 0
62 62 61 61 0 0 0
61 64 59 62 0 0 3
68 67 66 65 0 0 -1
63 68 62 67 0 0 5
73 72 71 70 0 0 -1
54 63 54 61 1 1 7
72 72 71 71 1 0 0
58 61 55 58 0 0 3
66 67 61 62 0 0 1
61 61 61 60 1 0 -1
68 70 63 65 0 1 2
76 79 75 79 1 1 4
67 70 65 68 0 0 3
70 71 65 67 0 1 2
68 69 65 66 1 1 1
52 58 52 54 1 0 2
48 55 45 52 0 0 7
63 67 62 66 1 0 4
64 67 62 67 0 1 5
53 54 51 52 0 0 1
71 76 69 74 0 0 5
66 65 66 65 0 0 -1
73 69 67 63 0 0 -4
61 65 57 61 0 0 4
56 63 55 62 0 0 7
65 67 63 65 0 0 2
55 53 54 52 0 0 -2
56 56 56 56 0 0 0
55 58 52 55 0 0 3
59 65 55 61 0 1 6
60 59 59 58 0 0 -1
67 71 66 70 0 0 4
61 65 61 65 0 0 4
64 66 59 61 0 0 2
67 69 67 69 0 0 2
61 68 58 65 0 0 7
